
Summary,CR
Emissions
,N2O_WASTE,8186.55
,CH4_WASTE,3.4788e+06
,CO2_WASTE,2.49135e+06
,CO2e_WASTE,1.02068e+08

Cost,10494.8

TID Demand

,CR
Fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E5TSWCO2_CH4_BURN,All,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250,41250

Time Dependent Production (Energy Units) Test

,CR
Fuel,Timeslice,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
OSS_INORG,All,53.473,39.827,45.511,63.917,75.983,142.201,142.201,142.201,149.311,156.421,158.791,161.161,163.531,167.797,172.063,176.329,180.595,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861
OSS_ORG,All,4.857,50.677,43.736,43.756,45.525,53.47,59.4171,59.4171,62.388,65.3588,68.3297,71.3005,74.2714,77.2422,80.2131,83.1839,86.1548,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257
NO_OSS,All,1299.24,1162.65,1225.02,1330.32,1375.73,1396.66,1472.51,1559.46,1640.33,1725.42,1819.5,1917.97,2020.79,2126.21,2236.58,2352.41,2474.29,2602.21,2743.61,2891.25,3045.33,3206.31,3374.19,3549.39,3731.98,3922.42,4120.53,4326.45,4540.16,4762.05,4992,5230.21,5476.71
NO_COLL_SDF,All,104.825,90.451,145.019,180.544,118.524,118.023,126.928,134.711,142.853,151.373,160.273,169.567,179.25,189.334,199.862,210.879,222.438,234.537,247.196,260.412,274.205,288.616,303.645,319.329,335.674,352.723,370.457,388.891,408.023,427.887,448.471,469.796,491.863
LANDFILL_ELEC,All,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
IND_SW,All,395.578,363.446,394.737,437.813,437.063,462.65,487.186,512.811,539.615,567.663,596.965,627.56,659.437,692.637,727.299,763.567,801.62,841.453,883.127,926.638,972.047,1019.49,1068.97,1120.6,1174.41,1230.54,1288.93,1349.61,1412.6,1477.99,1545.76,1615.97,1688.61
SEWERWW,All,1384.82,1210.05,1217.38,1244.03,1237.94,1245.46,1252.48,1259.02,1600.04,1693.31,1786.81,1880.42,1947.02,1952.99,1958.42,1963.54,1968.61,1973.43,1977.94,1981.98,1985.52,1988.7,1991.36,1993.59,1995.28,1996.54,1997.14,1997.05,1996.17,1994.57,1992.14,1988.88,1984.74
DIRECT_DISC,All,3566.65,3800.87,3823.89,3908.28,3968.3,3992.4,4014.9,4035.86,3720.82,3652.18,3581.59,3509.1,3461.36,3471.99,3481.64,3490.74,3499.76,3508.31,3516.34,3523.52,3529.82,3535.47,3540.2,3544.16,3547.17,3549.41,3550.47,3550.31,3548.74,3545.91,3541.57,3535.78,3528.43
CATTLE,All,305.232,334.604,337.465,348.837,336.048,338.088,339.994,341.769,343.446,345.036,346.514,347.877,349.095,350.167,351.14,352.058,352.967,353.83,354.639,355.364,355.999,356.569,357.046,357.445,357.749,357.975,358.082,358.066,357.908,357.622,357.185,356.6,355.86
PIGS,All,270.072,277.213,288.039,282.381,292.163,293.937,295.594,297.137,298.595,299.977,301.263,302.448,303.507,304.438,305.285,306.083,306.873,307.623,308.327,308.956,309.509,310.004,310.419,310.766,311.03,311.226,311.32,311.306,311.168,310.92,310.54,310.032,309.388
POULTRY,All,45.1667,48.3333,45.8333,49.272,50.746,51.0542,51.342,51.61,51.8632,52.1033,52.3267,52.5324,52.7163,52.8782,53.0251,53.1637,53.301,53.4314,53.5536,53.6629,53.7589,53.8449,53.917,53.9772,54.0231,54.0572,54.0735,54.071,54.0471,54.0039,53.9379,53.8496,53.7378
COFFE,All,1775.12,1910.51,1750.51,2171.74,1697.97,1708.28,1717.91,1726.88,1735.35,1743.39,1750.86,1757.75,1763.9,1769.31,1774.23,1778.87,1783.46,1787.82,1791.91,1795.57,1798.78,1801.66,1804.07,1806.09,1807.62,1808.76,1809.31,1809.23,1808.43,1806.98,1804.77,1801.82,1798.08
SUGARCANE,All,4.4212,4.025,4.092,3.995,3.8979,3.9216,3.9436,3.9643,3.9837,4.0021,4.0193,4.0351,4.0492,4.0616,4.073,4.0836,4.0941,4.1041,4.1135,4.122,4.1294,4.1359,4.1415,4.1461,4.1496,4.1522,4.1535,4.1533,4.1515,4.1481,4.1431,4.1363,4.1277
PALM,All,1087.8,1081.8,1156,1161.9,1161.9,1168.96,1175.55,1181.68,1187.48,1192.98,1198.09,1202.8,1207.01,1210.72,1214.08,1217.26,1220.4,1223.38,1226.18,1228.69,1230.88,1232.85,1234.5,1235.88,1236.93,1237.71,1238.09,1238.03,1237.48,1236.49,1234.98,1232.96,1230.4
COLL_INORG,All,53.473,39.827,45.511,63.917,75.983,142.201,142.201,142.201,149.311,156.421,158.791,161.161,163.531,167.797,172.063,176.329,180.595,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861
COLL_ORG,All,4.857,50.677,43.736,43.756,45.525,53.47,59.4171,59.4171,62.388,65.3588,68.3297,71.3005,74.2714,77.2422,80.2131,83.1839,86.1548,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257
COLL_BLEND,All,1299.24,1162.65,1225.02,1330.32,1375.73,1396.66,1472.51,1559.46,1640.33,1725.42,1819.5,1917.97,2020.79,2126.21,2236.58,2352.41,2474.29,2602.21,2743.61,2891.25,3045.33,3206.31,3374.19,3549.39,3731.98,3922.42,4120.53,4326.45,4540.16,4762.05,4992,5230.21,5476.71
NO_COLL,All,104.825,90.451,145.019,180.544,118.524,118.023,126.928,134.711,142.853,151.373,160.273,169.567,179.25,189.334,199.862,210.879,222.438,234.537,247.196,260.412,274.205,288.616,303.645,319.329,335.674,352.723,370.457,388.891,408.023,427.887,448.471,469.796,491.863
INORGSS,All,53.473,39.827,45.511,63.917,75.983,142.201,142.201,142.201,149.311,156.421,158.791,161.161,163.531,167.797,172.063,176.329,180.595,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861,184.861
ORGSS,All,4.857,50.677,43.736,43.756,45.525,53.47,59.4171,59.4171,62.388,65.3588,68.3297,71.3005,74.2714,77.2422,80.2131,83.1839,86.1548,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257,89.1257
NOSS,All,1404.07,1253.1,1370.04,1510.86,1494.25,1514.68,1599.44,1694.17,1783.18,1876.79,1979.77,2087.54,2200.04,2315.54,2436.44,2563.29,2696.72,2836.75,2990.81,3151.66,3319.53,3494.92,3677.84,3868.72,4067.65,4275.15,4490.99,4715.34,4948.18,5189.94,5440.47,5700.01,5968.57
TSW,All,1462.4,1343.61,1459.29,1618.53,1615.76,1710.35,1801.06,1895.79,1994.88,2098.57,2206.9,2320,2437.85,2560.58,2688.72,2822.8,2963.48,3110.73,3264.8,3425.65,3593.52,3768.91,3951.83,4142.7,4341.64,4549.13,4764.97,4989.33,5222.17,5463.93,5714.46,5973.99,6242.56
