Source,File,Region,Country,Variable_Main,Variable_Disag,Set,Year,Value
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Coke,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Charcoal,2018,11.822925546447314
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Gases,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Total secondary,2018,11.822925546447314
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Coal,Total,2018,-5.658114368656928
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Natural Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Coal,2018,-31.80889762439369
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Other primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Total primary sources,2018,-31.80889762439369
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Gasoline and alcohol,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Diesel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Fuel Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Coke,2018,-28.81516394417714
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Gases,2018,30.58053485327051
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Non-energy,2018,25.183312023469096
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Total secondary,2018,55.763846876739606
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Cokehouse and blast furnaces,Total,2018,-4.860214691831215
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Natural Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Sugar cane and derivatives,2018,-11.529629776374597
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Other primary sources,2018,-12.783888397729914
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Total primary sources,2018,-24.313518174104516
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Gasoline and alcohol,2018,23.605994795238058
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Diesel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Fuel Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Coke,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Gases,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Total secondary,2018,23.605994795238058
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Distillery,Total,2018,-0.7075233788664607
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Natural Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Other primary sources,2018,-94.29735530761067
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Total primary sources,2018,-94.29735530761067
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Gasoline and alcohol,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Diesel,2018,90.4500232110606
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Fuel Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Coke,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Gases,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Total secondary,2018,90.4500232110606
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,Other centers,Total,2018,-3.847332096550079
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Oil,2018,-976.3231420698235
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Natural Gas,2018,-887.7849541782133
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Coal,2018,-47.375937789649555
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Hydro,2018,-146.45342377641083
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Nuclear,2018,-77.39716084025746
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Firewood,2018,-23.27288230939589
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Sugar cane and derivatives,2018,-16.316442878494332
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Other primary sources,2018,-128.76798689918368
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Total primary sources,2018,-2303.6919307414287
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Gasoline and alcohol,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Diesel,2018,-34.36873065973593
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Fuel Oil,2018,-29.55756024444118
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Coke,2018,-28.81516394417714
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Gases,2018,-9.310521626896374
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Total secondary,2018,-102.05197647525061
OLADE,Energy Balances,5_Southern Cone,Argentina,Total transformation,none,Total,2018,-597.8552310143269
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Natural Gas,2018,143.81318520958345
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Hydro,2018,1.4645342377641064
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Other primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Total primary sources,2018,145.27771944734755
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Electricity,2018,85.17822939906512
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Liquified Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Gasoline and alcohol,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Kerose and jet fuel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Diesel,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Fuel Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Coke,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Charcoal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Gases,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Other secondary,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Non-energy,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Total secondary,2018,85.17822939906512
OLADE,Energy Balances,5_Southern Cone,Argentina,Losses,none,Total,2018,230.45594884641267
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Oil,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Natural Gas,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Coal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Hydro,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Geothermal,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Nuclear,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Firewood,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Sugar cane and derivatives,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Other primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Total primary sources,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Electricity,2018,0.0
OLADE,Energy Balances,5_Southern Cone,Argentina,Non-energy consumption,none,Liquified Gas,2018,0.0
